Województwo,Dzień,ID,Suma,Ludność,Wskaźnik,
Kujawsko-Pomorskie,20.11,5,1431,2077775,689,
Podkarpackie,20.11,8,840,2129015,395,
Lubelskie,20.11,14,675,2117619,319,
Zachodniopomorskie,20.11,3,1276,1701030,750,
Świętokrzyskie,20.11,4,860,1241546,693,
Warmińsko-Mazurskie,20.11,11,1055,1428983,738,
Opolskie,20.11,1,792,986506,803,
Podlaskie,20.11,6,722,1181533,611,
Lubuskie,20.11,15,562,1014548,554,
Śląskie,21.11,0,2263,4533565,499,
Mazowieckie,21.11,13,3086,5403412,571,
Małopolskie,21.11,9,2213,3400577,651,
Wielkopolskie,21.11,2,2525,3493969,723,
Dolnośląskie,21.11,7,1792,2901225,618,
Łódzkie,21.11,12,1563,2466322,634,
Pomorskie,21.11,10,1715,2333523,735,
Kujawsko-Pomorskie,21.11,5,1257,2077775,605,
Podkarpackie,21.11,8,872,2129015,410,
Lubelskie,21.11,14,1600,2117619,756,
Zachodniopomorskie,21.11,3,1101,1701030,647,
Świętokrzyskie,21.11,4,760,1241546,612,
Warmińsko-Mazurskie,21.11,11,1191,1428983,833,
Opolskie,21.11,1,703,986506,713,
Podlaskie,21.11,6,927,1181533,785,
Lubuskie,21.11,15,645,1014548,636,
Śląskie,22.11,0,1611,4533565,355,
Mazowieckie,22.11,13,2607,5403412,482,
Małopolskie,22.11,9,1444,3400577,425,
Wielkopolskie,22.11,2,2070,3493969,592,
Dolnośląskie,22.11,7,1005,2901225,346,
Łódzkie,22.11,12,1136,2466322,461,
Pomorskie,22.11,10,1139,2333523,488,
Kujawsko-Pomorskie,22.11,5,1000,2077775,481,
Podkarpackie,22.11,8,703,2129015,330,
Lubelskie,22.11,14,900,2117619,425,
Zachodniopomorskie,22.11,3,960,1701030,564,
Świętokrzyskie,22.11,4,391,1241546,315,
Warmińsko-Mazurskie,22.11,11,890,1428983,623,
Opolskie,22.11,1,563,986506,571,
Podlaskie,22.11,6,865,1181533,732,
Lubuskie,22.11,15,572,1014548,564,
Śląskie,23.11,0,694,4533565,153,
Mazowieckie,23.11,13,2295,5403412,425,
Małopolskie,23.11,9,1401,3400577,412,
Wielkopolskie,23.11,2,1899,3493969,544,
Dolnośląskie,23.11,7,1035,2901225,357,
